# Corpus reachability verdicts. Generated by `jackall-cli xref reach`;
# do not hand-edit. Methodology: docs/docs/engine-internals/asset-reachability.md
# hash	path	verdict	flags	bytes	outRefs	reason
2688D0C5	domino\user\a1sm03_defensereversal.a1sm03_mission.debug.lua	unused	DECOY	107992	36	unreachable:authoring-twin
17307FC8	domino\user\a1sm03_defensereversal.a1sm03_spawnbuddies.debug.lua	unused	DECOY	64031	13	unreachable:authoring-twin
E33C2EED	domino\user\a1sm03_defensereversal.churchassault.debug.lua	unused	DECOY	58015	23	unreachable:authoring-twin
AE953D83	domino\user\a1sm03_defensereversal.churchbrief.debug.lua	unused	DECOY	86866	25	unreachable:authoring-twin
00BD4131	domino\user\a1sm03_defensereversal.mikesassault.debug.lua	unused	DECOY	40986	19	unreachable:authoring-twin
7221A14A	domino\user\a1sm03_defensereversal.mikesbrief.debug.lua	unused	DECOY	94767	31	unreachable:authoring-twin
43E42AEF	domino\user\a1sm03_defensereversal.mikesoutertriggers.debug.lua	unused	DECOY	9276	4	unreachable:authoring-twin
457B1F4E	domino\user\a1sm03_defensereversal.mikesoutertriggers.lua	unknown	-	3784	4	opaque-referrers(domino)
7B4FD8D6	domino\user\a2bu05_blackmamba.a2bu05_mission.debug.lua	unused	DECOY	39056	27	unreachable:authoring-twin
747E53A4	domino\user\a2bu05_blackmamba.a2bu05_mission.lua	unknown	-	19145	27	opaque-referrers(domino)
07020748	domino\user\a2bu06_oldbrewery.a2bu06_mission.debug.lua	unused	DECOY	27245	18	unreachable:authoring-twin
99DC2B46	domino\user\a2bu07_dogonring.a2bu07_mission.debug.lua	unused	DECOY	35537	20	unreachable:authoring-twin
1416AA34	domino\user\a2lm07_radioarmageddon.a2lm07_assassination.debug.lua	unused	DECOY	37828	20	unreachable:authoring-twin
99C3AF22	domino\user\a2lm07_radioarmageddon.a2lm07_briefingbase.debug.lua	unused	DECOY	41417	15	unreachable:authoring-twin
B669BD2D	domino\user\a2lm07_radioarmageddon.a2lm07_briefingsubv.debug.lua	unused	DECOY	26801	15	unreachable:authoring-twin
EAF5C382	domino\user\a2lm07_radioarmageddon.a2lm07_briefingsubv.lua	unknown	-	14552	15	opaque-referrers(domino)
E4768222	domino\user\a2lm07_radioarmageddon.a2lm07_briefingsubvpawnbrief.debug.lua	unused	DECOY	18704	5	unreachable:authoring-twin
BAE69583	domino\user\a2lm07_radioarmageddon.a2lm07_briefingsubvpawnbrief.lua	unknown	-	7227	5	opaque-referrers(domino)
16971892	domino\user\a2lm07_radioarmageddon.a2lm07_intimidation.debug.lua	unused	DECOY	44381	24	unreachable:authoring-twin
ED43CF5F	domino\user\a2lm07_radioarmageddon.a2lm07_mission.debug.lua	unused	DECOY	87602	31	unreachable:authoring-twin
B15D99B2	domino\user\a2lm07_radioarmageddon.a2lm07_wagerobjective.debug.lua	unused	DECOY	817	1	unreachable:authoring-twin
BAB8C5F1	domino\user\a2lm07_radioarmageddon.a2lm07_wagerobjective.lua	unknown	-	817	1	opaque-referrers(domino)
6F382473	domino\user\a2lm08_pipedreams.a2lm08_briefingbase.debug.lua	unused	DECOY	35198	12	unreachable:authoring-twin
4092367C	domino\user\a2lm08_pipedreams.a2lm08_briefingsubv.debug.lua	unused	DECOY	27511	16	unreachable:authoring-twin
F40CBF8B	domino\user\a2lm08_pipedreams.a2lm08_briefingsubv.lua	unknown	-	15054	16	opaque-referrers(domino)
2ABCDABC	domino\user\a2lm08_pipedreams.a2lm08_briefingsubvpawnbrief.debug.lua	unused	DECOY	20294	5	unreachable:authoring-twin
2580BBE6	domino\user\a2lm08_pipedreams.a2lm08_briefingsubvpawnbrief.lua	unknown	-	7999	5	opaque-referrers(domino)
94818E87	domino\user\a2lm08_pipedreams.a2lm08_mission.debug.lua	unused	DECOY	154872	46	unreachable:authoring-twin
689759F4	domino\user\a2lm08_pipedreams.a2lm08_wagerobjective.debug.lua	unused	DECOY	10325	8	unreachable:authoring-twin
32C95D56	domino\user\a2lm08_pipedreams.a2lm08_wagerobjective.lua	unknown	-	5181	8	opaque-referrers(domino)
200C5B85	domino\user\a2lm09_dentalplan.a2lm09_briefingbase.debug.lua	unused	DECOY	35187	12	unreachable:authoring-twin
0FA6498A	domino\user\a2lm09_dentalplan.a2lm09_briefingsubv.debug.lua	unused	DECOY	27443	16	unreachable:authoring-twin
295636BD	domino\user\a2lm09_dentalplan.a2lm09_briefingsubv.lua	unknown	-	14984	16	opaque-referrers(domino)
1802DA68	domino\user\a2lm09_dentalplan.a2lm09_briefingsubvpawnbrief.debug.lua	unused	DECOY	19695	5	unreachable:authoring-twin
1DDA2547	domino\user\a2lm09_dentalplan.a2lm09_briefingsubvpawnbrief.lua	unknown	-	7628	5	opaque-referrers(domino)
5BE64197	domino\user\a2lm09_dentalplan.a2lm09_mission.debug.lua	unused	DECOY	192618	61	unreachable:authoring-twin
EACB3C56	domino\user\a2lm09_dentalplan.a2lm09_wagerobjective.debug.lua	unused	DECOY	11093	6	unreachable:authoring-twin
2FB12AFD	domino\user\a2lm09_dentalplan.a2lm09_wagerobjective.lua	unknown	-	5245	6	opaque-referrers(domino)
ACEE61F7	domino\user\a2lm10_flyingjackal.a2lm10_assassination.debug.lua	unused	DECOY	36804	20	unreachable:authoring-twin
DCAD6315	domino\user\a2lm10_flyingjackal.a2lm10_briefingbase.debug.lua	unused	DECOY	35271	12	unreachable:authoring-twin
F307711A	domino\user\a2lm10_flyingjackal.a2lm10_briefingsubv.debug.lua	unused	DECOY	26704	15	unreachable:authoring-twin
3C51CB2B	domino\user\a2lm10_flyingjackal.a2lm10_briefingsubv.lua	unknown	-	14543	15	opaque-referrers(domino)
0733D126	domino\user\a2lm10_flyingjackal.a2lm10_briefingsubvpawnbrief.debug.lua	unused	DECOY	18564	5	unreachable:authoring-twin
5687B2CE	domino\user\a2lm10_flyingjackal.a2lm10_briefingsubvpawnbrief.lua	unknown	-	7164	5	opaque-referrers(domino)
E77CCE0E	domino\user\a2lm10_flyingjackal.a2lm10_kilnsexplosion.debug.lua	unused	DECOY	15882	8	unreachable:authoring-twin
429F701B	domino\user\a2lm10_flyingjackal.a2lm10_mission.debug.lua	unused	DECOY	86708	31	unreachable:authoring-twin
98156B67	domino\user\a2lm10_flyingjackal.a2lm10_wagerexplosion.debug.lua	unused	DECOY	29422	7	unreachable:authoring-twin
B388F273	domino\user\a2lm10_flyingjackal.a2lm10_wagerobjective.debug.lua	unused	DECOY	814	1	unreachable:authoring-twin
CBA69CC7	domino\user\a2lm10_flyingjackal.a2lm10_wagerobjective.lua	unknown	-	814	1	opaque-referrers(domino)
ED3A3432	domino\user\a2lm11_abridgetoofar.a2lm11_assassination.debug.lua	unused	DECOY	30073	17	unreachable:authoring-twin
6AF8078D	domino\user\a2lm11_abridgetoofar.a2lm11_bridgeexplosion.debug.lua	unused	DECOY	33673	19	unreachable:authoring-twin
71C4F0C0	domino\user\a2lm11_abridgetoofar.a2lm11_bridgepiecesvisibility.debug.lua	unused	DECOY	38369	6	unreachable:authoring-twin
0C82C6BE	domino\user\a2lm11_abridgetoofar.a2lm11_briefingbase.debug.lua	unused	DECOY	35325	12	unreachable:authoring-twin
2328D4B1	domino\user\a2lm11_abridgetoofar.a2lm11_briefingsubv.debug.lua	unused	DECOY	26732	15	unreachable:authoring-twin
650AB2C9	domino\user\a2lm11_abridgetoofar.a2lm11_briefingsubv.lua	unknown	-	14546	15	opaque-referrers(domino)
A8A471A5	domino\user\a2lm11_abridgetoofar.a2lm11_briefingsubvpawnbrief.debug.lua	unused	DECOY	21294	5	unreachable:authoring-twin
FB0B756A	domino\user\a2lm11_abridgetoofar.a2lm11_briefingsubvpawnbrief.lua	unknown	-	8597	5	opaque-referrers(domino)
205E1FB3	domino\user\a2lm11_abridgetoofar.a2lm11_giveitempawnbrief.debug.lua	unused	DECOY	27416	16	unreachable:authoring-twin
0CC2A836	domino\user\a2lm11_abridgetoofar.a2lm11_mission.debug.lua	unused	DECOY	111253	40	unreachable:authoring-twin
58C71019	domino\user\a2lm11_abridgetoofar.a2lm11_wagerobjective.debug.lua	unused	DECOY	14459	8	unreachable:authoring-twin
5C96B24E	domino\user\a2lm12_bunkerbuster.a2lm12_assassination.debug.lua	unused	DECOY	43996	23	unreachable:authoring-twin
32993F82	domino\user\a2lm12_bunkerbuster.a2lm12_baseassassination.debug.lua	unused	DECOY	19255	10	unreachable:authoring-twin
58144EC9	domino\user\a2lm12_bunkerbuster.a2lm12_baseassassination.lua	unknown	-	8414	10	opaque-referrers(domino)
ABED9E85	domino\user\a2lm12_bunkerbuster.a2lm12_briefingbase.debug.lua	unused	DECOY	35297	12	unreachable:authoring-twin
84478C8A	domino\user\a2lm12_bunkerbuster.a2lm12_briefingsubv.debug.lua	unused	DECOY	27658	15	unreachable:authoring-twin
44BAD768	domino\user\a2lm12_bunkerbuster.a2lm12_briefingsubv.lua	unknown	-	14883	15	opaque-referrers(domino)
FBE4DA83	domino\user\a2lm12_bunkerbuster.a2lm12_briefingsubvpawnbrief.debug.lua	unused	DECOY	17910	4	unreachable:authoring-twin
7C5AD429	domino\user\a2lm12_bunkerbuster.a2lm12_briefingsubvpawnbrief.lua	unknown	-	7019	4	opaque-referrers(domino)
24B92935	domino\user\a2lm12_bunkerbuster.a2lm12_intimidation.debug.lua	unused	DECOY	51660	24	unreachable:authoring-twin
AD328B2D	domino\user\a2lm12_bunkerbuster.a2lm12_mission.debug.lua	unused	DECOY	81832	32	unreachable:authoring-twin
BCEA6B8A	domino\user\a2lm12_bunkerbuster.a2lm12_planeflyby.debug.lua	unused	DECOY	15900	10	unreachable:authoring-twin
01C58188	domino\user\a2lm12_bunkerbuster.a2lm12_wagerobjective.debug.lua	unused	DECOY	14480	6	unreachable:authoring-twin
04F3A4A5	domino\user\a2lm12_bunkerbuster.a2lm12_wagerobjective.lua	unknown	-	8001	6	opaque-referrers(domino)
95DAF0D3	domino\user\a2sm04_exileworld2.a2sm04_mission.debug.lua	unused	DECOY	137306	45	unreachable:authoring-twin
79D02956	domino\user\a2sm05_reprisal1.a2sm05_borderstorm.debug.lua	unused	DECOY	27608	8	unreachable:authoring-twin
ED11E2B9	domino\user\a2sm05_reprisal1.a2sm05_briefing_forblue.debug.lua	unused	DECOY	50293	24	unreachable:authoring-twin
D41DE0E4	domino\user\a2sm05_reprisal1.a2sm05_briefing_forred.debug.lua	unused	DECOY	50264	24	unreachable:authoring-twin
80715330	domino\user\a2sm05_reprisal1.a2sm05_mission_forblue.debug.lua	unused	DECOY	23584	15	unreachable:authoring-twin
694882F1	domino\user\a2sm05_reprisal1.a2sm05_mission_forred.debug.lua	unused	DECOY	23532	15	unreachable:authoring-twin
DB82093C	domino\user\a2sm05_reprisal1.a2sm05_warlordassassination.debug.lua	unused	DECOY	36395	18	unreachable:authoring-twin
AF1593D5	domino\user\a2sm06_hornetnest.a2sm06_bargesequence.debug.lua	unused	DECOY	110802	30	unreachable:authoring-twin
73E4E3DC	domino\user\a2sm06_hornetnest.a2sm06_briefing_forblue.debug.lua	unused	DECOY	61742	29	unreachable:authoring-twin
458926E3	domino\user\a2sm06_hornetnest.a2sm06_briefing_forred.debug.lua	unused	DECOY	61691	29	unreachable:authoring-twin
5B0D91E4	domino\user\a2sm06_hornetnest.a2sm06_buddybriefing.debug.lua	unused	DECOY	34861	14	unreachable:authoring-twin
