# hash	name
# Recovered by CRC32 dictionary-matching every ASCII string constant in FarCry2_server's
# rodata + symbol table against every hash actually seen in a real save's exported
# PersistenceDB tree (byte-exact match, both directions verified via Ghidra MCP over the
# live fc2.gpr project). See reverse/dunia/savegame_format.md for methodology and caveats.
# Name-only: this table does not assert a wire type (see SaveGameFieldCatalog for that).
B8397B06	NotMovingTimeoutTimer
C2FDF6AF	PathSegmentWalkSoFar
5F11AB3A	IsInFinalDeceleration
B17FD8CA	SocialPlan
D8F3D7E2	DeadTargets
E195049E	FuzzyTargets
1D1EF0E6	MapOverrides
698CEAB0	SpecialMissionBehaviour
09D7935F	ClearTargets
0BBA96C2	SpawnedReinforcementRecently
02B24256	SavedEffects
744AFB1D	PierceDamageCumulatedSoFar
CC05196D	IsInDistanceSense
429114E1	SocialProximitySense
F9B368BC	CurrentRangeIndex
FC54B85B	ArmyMemberIsInDistance
9CECC1ED	RaisedWeaponSense
22D59D7E	CurrentRangeX
55D2ADE8	CurrentRangeY
58AE85DC	AimingAtSense
2D30A568	CurrentColor
C73D7515	ReceivedAPierceStimBefore
76DF3FC2	SocialCombatDetected
BFC093DC	ArrowsVisible
3620B164	AimAtTimer
00ED6093	PlayerVisibilitySense
97AFB3D7	StaringSense
C186AA7A	IsCalled
3DAE89B3	FxIntensity
C6CBB49F	BuddyID
F88BF933	DirectFadeIndex
D898223A	LibStart
CF9E6F42	EndingPatrol
94D6BEC9	PropName
EEC5A087	BetrayedCount
E3153A2D	FirstPointReachedFact
98432DAB	EntityList
36218E12	EntityCreatedByMonitor
7C411272	PatrolPathFollower
09B00E73	FocusEntityID
6A0471BF	CradleGunAwayTimer
C773CBB1	WINNING_FACTION_HELPER_WARLORD
EB99055B	BuddySpawnPositionActual
EFC8564A	TimeElapsedOutsideBubble
62E59D0E	KeyLocations
85924394	bNextMinorAttackIsForced
DB9F9C0E	ASSIGNED_A2SM06
F8CBB14F	ASSIGNED_A1BU01
4B370F18	CurrentAct
17E5DF06	CurrentMissionID
23F03A5D	DiamondsData
6A565A6D	AbsolutePresets
4A4EE2BB	fTimeSinceLastTimedSomeoneTalked
A68DC4D3	MISSION_BUDDY_A2SM08
DA9F1E07	CurrentMissionInfo
E9803D99	Ringing
ACFAF55B	DefenceReversalActive
9AC66066	TeleportPMSCharacterCount
D8D23D6D	CumulatedDays
2D24A656	NoiseFOVTimeCount
7C74AB3F	ActiveFloatingTutorialMBoxId
19F90D6A	NextAIObjectID
2793C904	RelativePresets
79215F2E	WINNING_FACTION_BOSS
90FA3790	RedArmy
3E9311AC	TeleportMercSignal
64B57B51	HealWhenExit
7C004DDE	WINNING_FACTION_A1
5B8451A5	ExitPos
619ABB9A	CameraMonitor
4932FF17	DesertInfoOverride
88A145C0	ASSIGNED_A1BU04
1C6CE07B	ListId
83B42C61	GrenadeCount
3D2D5B15	m_lastStandByConfusionResponseState
C195459A	RestoreActionMap
205CDC6A	DiamondPay
7A43E9E9	PendingPhoneCall
830750C5	m_lastNoiseState
26DA8316	NextRequestedEvent
B9373A69	MISSION_BUDDY_A2LM10
FCFF571F	LuaGlobals
F4CB216E	fAttachVisibleCounter
3033A0BE	PRIMARY_BUDDY_NAME
9C44B3A3	CampaignSave
3F72F334	CurrentLockAnimationResource
56086EAA	ASSIGNED_A2BU07
CE300AFF	MISSION_BUDDY_A2LM11
666E7FAA	GameplayManagement
8DD0188D	FIRST_LT_FACTION
2D306A22	LastHealthKeyframe
4000F43C	CurrentNbOfAttack
16C5D063	ASSIGNED_A1BU03
78E2170E	MonocularEquipped
AF3B88F8	MISSION_BUDDY_A2SM04
58C26D3F	bSwitch
210F5E3C	ASSIGNED_A2BU06
1978D4D8	FloatingMessageTag
711CE1CB	LastHudValues
908B416E	MISSION_BUDDY_A1LM01
15B9A166	CompletedChallenges
76FF678B	MISSION_BUDDY_A1SM03
FC47A09F	MISSION_BUDDY_A3SM15
CB5F625D	RescueBuddySpawned
AEF7831A	MISSION_BUDDY_A2LM08
5EC77161	NoiseFOVCurrent
B8303582	ShowCrosshair
569E197B	DownBuddiesID
A9E548DF	GhostGroups
EF5570E2	CurrentAttackType
52DD76BE	MainHud
8B409009	MISSION_BUDDY_A3SM14
ECDBD758	IsWaitingForBuddySpawn
61C7ED3C	fBurnDamage
2CCF976A	AttachVisibleEntity
C6641068	ExitRot
D83CB86E	MISSION_BUDDY_A2SM05
B4685672	MissionList
DBCBB89B	DiamondMarkers
B12DCA5E	LastNbSyringes
76E51FCA	CurrentActionMap
D2CDFEEE	NoiseFOVEnabled
0FBA9384	Implementation
349AF18F	WaitingForBuddyTeleport
C9B5374D	RescueBuddyId
8052924F	PGPUnlocked
01F8571D	MISSION_BUDDY_A1SM02
DBCE9787	ChangingLevel
C03A1519	RescueRequest
90728AA7	IsWaitingForActivate
0BA4F616	NextEntry
1EDD3266	UsedInteraction
34FD3FE6	CompassEntity
A50BD4FD	ObjectiveStatesToBlock
C95D3DE6	LastWeaponName
310790B8	SystemGroups
455EC56C	LOSING_FACTION_A1
A8859F80	hidRetainedEvents
1C8A6103	BuddyManagement
2CE72EC0	LockedWeaponWater
7DF4EF8E	SideMissions
735997E1	GiveBetrayalInfamy
458AF869	DiamondsInfo
B11D4221	CommandMap
A85E64B8	m_lastCloseRangeConfusionResponseState
E3D9A7E2	SECOND_LT
E170C491	IsRaining
365514C1	NextRequestedEntry
B5337ECE	WorldDiamonds
826EBB67	LastCompletedMission
D27446A8	PersistenceDB
10C82906	bIgnoreForceHeal
0768C7DF	LOSING_FACTION_HELPER_A2
098210D4	MISSION_BUDDY_A1LM02
4135E9D4	MISSION_BUDDY_A2SM06
484C08E7	InventoryPackDifficultyLevel
D16898D8	WINNING_FACTION_HELPER_A1
58E0A53A	PlayingSequences
57034B6C	GrenadeType
4C3EB65B	staminaFXDrain
294D5951	MonocularEntity
9F34362F	MissionTime
B5AE72FC	TimeElapsedInAttack
61C2E0F5	ASSIGNED_A1BU02
C5E60733	BlueArmy
278D7C19	ActiveDZMessageTag
5EBA5A20	bIsInForcedFailure
6E58FF72	LastHealth
6882BD90	TerminalPlayer
84DF1371	InputController
9599F251	MissionManagement
8F62D0FC	MapType
1E922502	EntryHandle
1BA9871A	SECONDARY_BUDDY_NAME
40FF9EB5	PlayerID
48756077	IndexKeyLocation
A64643B0	DelayBeforeRegen
DC3FFBDE	TimeElapsedSinceLastDamage
BDAAA399	CurrentMarkers
398E1501	staminaFXNearZero
C1D4D64C	SavedActiveChallenges
00750FA5	EntryRot
EB210589	LastSector
28846E11	ActiveCamera
FB2A6486	MISSION_BUDDY_A3SM11
7F554DD1	LastInfamyProgressionLevelDisplayed
E4E93822	UnlockedItems
6B421D06	BoughtItems
84922935	BaseInfamyReward_Red
